Lat,Lon
-71.5327,42.2929
-72.06705799999999,42.0917688
-71.3031,42.6558
-71.2147,42.023
-71.7713,42.4377
-71.4132,41.821000000000005
-70.967,42.9777
-70.65365240000001,43.1580395
-68.9452,44.8096
-73.1270636,41.169770899999996
-73.056,41.2186
-72.742873,41.617005999999996
-74.14035600000001,40.7997056
-74.2535,40.6348
-74.34988059999999,40.84886029999999
-75.4624,39.7183
-74.6454,40.5029
-74.8402228,40.0383157
-74.0486,40.8885
-73.5946,41.4179
-74.4332,41.4494
-73.8731,40.6745
-73.86506700000001,41.080484999999996
-73.941523,41.127828
-74.0392,41.5232
-78.7451,42.8791
-78.7578474,42.8708814
-77.6421049,43.0936138
-77.196,40.2075
-76.1921,40.0937
-76.1786,40.1764
-75.8856,40.1671
-75.9373,40.3902
-75.53,40.6018
-75.9745,40.9585
-75.3038,40.0797
-75.8463,39.626
-75.29937009999999,40.1237936
-75.5331,40.2041
-76.9637,39.3998
-76.8069,38.8869
-77.6934627,39.640895
-76.795,39.1516
-77.0321,39.6262
-77.2102,38.7022
-77.2696,38.6332
-77.4895,37.5825
-77.559,36.6792
-80.0765,37.2904
-81.0903,36.942
-82.1732,36.6504
-82.42,38.4213
-79.9538,39.6474
-77.7716,35.9342
-77.9257,35.7114
-78.015,35.3851
-78.63,35.8471
-79.5288173,36.0032956
-78.9586,36.0216
-80.2353,36.164
-77.3943,35.6185
-77.8995427,34.2903899
-79.0078,35.0589
-80.8017,35.3278
-81.5405,35.3127
-82.5546,35.5961
-77.2098,34.6924
-79.705,34.1941
-80.6447611,32.960663399999994
-82.319,34.9318
-81.811,33.3491
-83.6857,32.7326
-83.4936,31.4559
-84.29908490000001,34.8828695
-81.64589649999999,30.3604979
-81.34852459999999,29.745679100000004
-81.0037,29.2129
-80.8173,28.5684
-80.7959,28.3904
-80.9664,29.0215
-81.4604,28.276
-82.3641,28.0405
-81.9335,27.9678
-80.3670503,27.2699331
-80.4055,27.5371
-86.988,34.5912
-86.95436,33.625415999999994
-89.854647,35.250071000000005
-90.1970439,32.2775178
-85.6861,38.2229
-83.5615,41.7085
-83.3722115,39.9588772
-82.9683,39.9024
-80.635424,41.050422
-82.5316096,40.7917968
-84.3328,39.8545
-82.5533,38.4382
-87.4142,41.1277
-86.6217,39.2454
-85.8023,38.6828
-84.5599,42.766999999999996
-82.9805511,42.4921966
-85.6531,42.9314
-85.2145,42.2964
-85.0671,42.9829
-74.6354115,39.348020500000004
-93.5538,41.6124
-97.37351640000001,37.7925016
-88.0536599,43.178928000000006
-89.03550179999999,42.63214
-88.91016,43.096016999999996
-88.0685,44.5005
-92.4717,46.7213
-93.2087,45.167
-109.9217,45.9106
-110.5697,45.6453
-108.4997,45.7723
-107.6128,45.7328
-109.2572,45.6125
-87.755,41.6081
-88.2052932,41.8996609
-87.966303,42.023117
-89.0190589,42.168282899999994
-89.5411,40.6877
-90.589382,41.481165999999995
-88.9226,37.7253
-123.3552,43.4618
-90.4171,38.7517
-89.7180842,36.2992312
-93.2891,37.2541
-95.6691,39.0782
-101.7213,39.3491
-96.7469,40.7926
-102.986,41.1382
-92.103815,30.242088
-90.7448,29.5934
-84.447,45.4034
-99.6381,35.2981
-97.5243,35.4293
-95.5654,33.1798
-95.9391,33.146
-97.354,32.7985
-97.77017590000001,32.8276249
-97.2929,31.2035
-97.0508,28.7233
-95.342905,29.803541999999997
-100.9047,34.9369
-97.8324,28.0863
-98.524,29.4242
-106.2055,31.6789
-104.962,39.8556
-104.6999,38.6958
